Macrotrends Data Download

Natural Gas Prices - Historical Chart

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.
-> MJSP: modified to REMOVE the inflation-adjusted price, i.e. RETAINING the nominal prices

date, value
2007-09-01,6.150
2007-10-01,7.280
2007-11-01,7.290
2007-12-01,7.110
2008-01-01,8.100
2008-02-01,9.100
2008-03-01,9.860
2008-04-01,10.810
2008-05-01,11.430
2008-06-01,13.190
2008-07-01,9.260
2008-08-01,8.240
2008-09-01,7.170
2008-10-01,6.180
2008-11-01,6.430
2008-12-01,5.630
2009-01-01,4.770
2009-02-01,4.040
2009-03-01,3.580
2009-04-01,3.250
2009-05-01,3.920
2009-06-01,3.720
2009-07-01,3.340
2009-08-01,2.420
2009-09-01,3.250
2009-10-01,4.110
2009-11-01,4.410
2009-12-01,5.820
2010-01-01,5.260
2010-02-01,4.760
2010-03-01,3.930
2010-04-01,3.940
2010-05-01,4.310
2010-06-01,4.530
2010-07-01,4.810
2010-08-01,3.800
2010-09-01,3.850
2010-10-01,3.360
2010-11-01,4.160
2010-12-01,4.220
2011-01-01,4.420
2011-02-01,3.930
2011-03-01,4.320
2011-04-01,4.510
2011-05-01,4.630
2011-06-01,4.280
2011-07-01,4.260
2011-08-01,3.970
2011-09-01,3.680
2011-10-01,3.660
2011-11-01,3.530
2011-12-01,2.980
2012-01-01,2.510
2012-02-01,2.440
2012-03-01,2.000
2012-04-01,2.100
2012-05-01,2.340
2012-06-01,2.740
2012-07-01,3.200
2012-08-01,2.720
2012-09-01,3.080
2012-10-01,3.500
2012-11-01,3.460
2012-12-01,3.430
2013-01-01,3.330
2013-02-01,3.480
2013-03-01,4.030
2013-04-01,4.300
2013-05-01,4.020
2013-06-01,3.570
2013-07-01,3.460
2013-08-01,3.570
2013-09-01,3.480
2013-10-01,3.570
2013-11-01,3.870
2013-12-01,4.310
2014-01-01,5.040
2014-02-01,4.800
