linechart,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,,
units,,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels,million barrels,million barrels,,
source key,,,PAPR_OECD,PAPR_US,PAPR_CA,PAPR_MX,PAPR_OTHEROECD,PAPR_NONOECD,PAPR_OPEC,COPR_OPEC,OPEC_NC,PAPR_FSU,PAPR_CH,PAPR_OTHER_NONOECD,PAPR_WORLD,,PAPR_NONOPEC,,PATC_OECD,PATC_US,PATC_UST,PATC_CA,PATC_OECD_EUROPE,PATC_JA,PATC_OTHER_OECD,PATC_NON_OECD,PATC_FSU,PATC_NONOECD_EUROPE,PATC_CH,PATC_OTHER_ASIA,PATC_OTHER_NONOECD,PATC_WORLD,,T3_STCHANGE_US,T3_STCHANGE_OOECD,T3_STCHANGE_NOECD,T3_STCHANGE_WORLD,,PASC_US,PASC_OECD_T3,,
Dec 2020,,,31,18,6,2,5,62,30,25,5,13,5,14,93,,63,,43,19,0,2,12,4,6,53,5,1,16,14,18,97,,1,1,1,3,,1343,3025,,
Jan 2021,,,31,18,6,2,5,63,31,25,5,13,5,14,94,,63,,41,19,0,2,11,4,6,52,5,1,15,14,18,93,,0,-0,-1,-1,,1330,3027,,
Feb 2021,,,28,16,6,2,5,62,30,25,5,13,5,14,91,,60,,42,17,0,2,12,4,6,53,5,1,15,14,18,95,,1,1,2,4,,1295,2964,,
Mar 2021,,,31,18,6,2,5,63,30,25,5,13,5,14,94,,63,,44,19,0,2,12,4,6,53,5,1,15,14,18,96,,-0,2,1,3,,1302,2914,,
Apr 2021,,,31,19,5,2,5,63,30,25,5,14,5,14,94,,64,,43,19,0,2,12,3,6,53,5,1,16,14,18,96,,1,-0,1,2,,1289,2910,,
May 2021,,,31,19,5,2,4,64,31,25,5,14,5,15,95,,64,,43,20,0,2,12,3,6,52,5,1,15,13,18,96,,0,-0,1,1,,1294,2926,,
Jun 2021,,,31,19,6,2,4,65,31,26,5,14,5,15,95,,64,,45,21,0,2,13,3,6,53,5,1,15,13,19,99,,1,1,1,3,,1271,2872,,
Jul 2021,,,32,19,6,2,5,66,32,27,5,14,5,15,97,,65,,45,20,0,2,14,3,6,53,5,1,15,13,19,98,,0,0,0,1,,1269,2863,,
Aug 2021,,,31,19,5,2,5,65,32,27,5,13,5,15,96,,64,,46,21,0,2,14,3,6,53,5,1,15,13,19,98,,1,0,1,2,,1227,2811,,
Sep 2021,,,30,18,6,2,5,66,33,27,5,14,5,15,97,,64,,45,20,0,2,14,3,6,54,5,1,15,13,19,99,,0,1,2,3,,1226,2786,,
Oct 2021,,,31,19,6,2,5,67,33,28,5,14,5,15,99,,66,,46,20,0,2,14,3,6,53,5,1,15,14,19,99,,0,-0,-0,-0,,1223,2789,,
Nov 2021,,,32,19,6,2,5,67,33,28,5,14,5,15,99,,66,,46,20,0,2,14,3,6,54,5,1,16,14,19,100,,0,0,0,1,,1220,2782,,
Dec 2021,,,32,19,6,2,5,67,34,28,6,14,5,14,99,,66,,46,20,0,2,13,4,6,55,5,1,16,14,19,101,,1,0,1,2,,1198,2749,,
Jan 2022,,,32,19,6,2,5,67,34,28,6,14,5,14,100,,66,,45,20,0,2,13,4,6,53,5,1,16,14,18,98,,-0,-0,-1,-1,,1208,2768,,
Feb 2022,,,32,19,6,2,5,67,34,28,6,14,5,14,100,,66,,46,20,0,2,14,4,6,55,5,1,16,14,18,101,,0,0,1,1,,1207,2755,,
Mar 2022,,,32,20,6,2,5,67,34,28,6,15,5,14,100,,66,,46,20,0,2,13,4,6,55,5,1,16,14,18,100,,-0,0,0,0,,1210,2754,,
Apr 2022,,,32,20,6,2,5,68,34,28,5,15,5,15,100,,67,,45,20,0,2,13,3,6,55,5,1,16,14,19,100,,-1,0,0,-0,,1234,2776,,
May 2022,,,32,20,6,2,5,69,34,28,5,15,5,15,101,,67,,45,20,0,2,13,3,6,55,5,1,16,15,19,100,,-1,-0,-0,-1,,1258,2800,,
Jun 2022,,,33,20,6,2,5,69,34,29,5,15,5,15,102,,68,,46,21,0,2,13,3,6,56,5,1,16,14,20,102,,-1,0,0,-0,,1275,2812,,
Jul 2022,,,33,20,6,2,5,69,34,28,6,15,5,15,102,,68,,46,21,0,2,14,3,6,56,6,1,16,14,19,102,,-0,0,0,-0,,1281,2818,,
Aug 2022,,,33,20,6,2,5,69,34,28,6,15,5,15,102,,68,,46,21,0,2,13,3,6,55,6,1,15,14,20,102,,0,-0,-0,-1,,1279,2823,,
Sep 2022,,,33,20,6,2,5,69,34,28,6,15,5,15,102,,68,,46,21,0,2,14,3,6,56,6,1,16,14,20,102,,-0,-0,-0,-0,,1283,2827,,
Oct 2022,,,33,20,6,2,5,69,34,29,5,15,5,15,102,,68,,46,21,0,2,14,3,6,55,5,1,15,14,19,101,,0,-1,-1,-2,,1276,2840,,
Nov 2022,,,33,21,6,2,5,69,34,28,6,15,5,15,103,,69,,46,21,0,2,13,3,6,56,5,1,16,14,19,102,,0,-0,-1,-1,,1277,2849,,
Dec 2022,,,33,21,6,2,5,69,34,28,6,15,5,15,102,,68,,46,21,0,2,13,4,6,56,5,1,17,15,19,103,,1,-0,-0,0,,1257,2834,,
